# b9440799-8e68-41ea-8f9b-43d6414bed5a
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 4.4951744; 2.7981441; 1.0573467; 0.4929497; 1.0000000; 0.0000000
0.1998247; 4.3167060; 2.8878688; 1.1509278; 0.4441059; 1.0000000; 0.0000000
0.3996494; 4.1309699; 2.9614095; 1.2351661; 0.3994183; 1.0000000; 0.0000000
0.5994741; 3.9399482; 3.0198940; 1.3108460; 0.3583777; 1.0000000; 0.0000000
0.7992988; 3.7452206; 3.0645495; 1.3786235; 0.3203117; 1.0000000; 0.0000000
0.9991235; 3.5480267; 3.0966481; 1.4390630; 0.2849300; 1.0000000; 0.0000000
1.1989481; 3.3493176; 3.1174636; 1.4926843; 0.2520534; 1.0000000; 0.0000000
1.3987728; 3.1498051; 3.1282402; 1.5399587; 0.2214091; 1.0000000; 0.0000000
1.5985975; 2.9500042; 3.1301739; 1.5813260; 0.1929322; 1.0000000; 0.0000000
1.7984222; 2.7502712; 3.1243970; 1.6172112; 0.1663326; 1.0000000; 0.0000000
1.9982469; 2.5508355; 3.1119837; 1.6478447; 0.1407786; 1.0000000; 0.0000000
2.1980716; 2.3518255; 3.0939536; 1.6736833; 0.1173136; 1.0000000; 0.0000000
2.3978963; 2.1532910; 3.0712758; 1.6944807; 0.0898523; 1.0000000; 0.0000000
2.5977210; 1.9551936; 3.0450580; 1.7091993; 0.0573894; 1.0000000; 0.0000000
2.7975457; 1.7574093; 3.0165714; 1.7174000; 0.0251052; 1.0000000; 0.0000000
2.9973704; 1.5597734; 2.9870859; 1.7193874; -0.0047637; 1.0000000; 0.0000000
3.1971950; 1.3621089; 2.9577819; 1.7155934; -0.0346336; 1.0000000; 0.0000000
3.3970197; 1.1642466; 2.9298628; 1.7054298; -0.0581396; 1.0000000; 0.0000000
3.5968444; 0.9660996; 2.9040871; 1.6967650; 0.0212993; 1.0000000; 0.0000000
3.7966691; 0.7681452; 2.8768245; 1.7274041; 0.2887717; 1.0000000; 0.0000000
3.9964938; 0.5721343; 2.8381720; 1.8120077; 0.5304921; 1.0000000; 0.0000000
4.1963185; 0.3812902; 2.7792624; 1.9338041; 0.6947026; 1.0000000; 0.0000000
4.3961432; 0.2006043; 2.6944875; 2.0917620; 0.8960924; 1.0000000; 0.0000000
4.5959679; 0.0380807; 2.5788904; 2.2921878; 1.0518862; 1.0000000; 0.0000000
4.7957926; -0.0970665; 2.4321422; 2.5026249; 1.0525928; 1.0000000; 0.0000000
4.9956173; -0.1985404; 2.2604422; 2.7127596; 1.0396221; 1.0000000; 0.0000000
5.1954419; -0.2624605; 2.0715548; 2.9153112; 0.9515463; 1.0000000; 0.0000000
5.3952666; -0.2897471; 1.8738234; 3.0897390; 0.8477479; 1.0000000; 0.0000000
5.5950913; -0.2829030; 1.6743149; -3.0207150; 0.8533790; 1.0000000; 0.0000000
5.7949160; -0.2424102; 1.4788216; -2.8562736; 0.7800613; 1.0000000; 0.0000000
5.9947407; -0.1720840; 1.2918961; -2.7107712; 0.6720291; 1.0000000; 0.0000000
6.1945654; -0.0773151; 1.1160497; -2.5874433; 0.5613144; 1.0000000; 0.0000000
6.3943901; 0.0365086; 0.9520170; -2.4849790; 0.4901373; 1.0000000; 0.0000000
6.5942148; 0.1659140; 0.7999411; -2.3888170; 0.4701724; 1.0000000; 0.0000000
6.7940395; 0.3090636; 0.6606113; -2.2976834; 0.4348619; 1.0000000; 0.0000000
6.9938642; 0.4637406; 0.5342386; -2.2152611; 0.3958391; 1.0000000; 0.0000000
7.1936889; 0.6279443; 0.4204797; -2.1390838; 0.3656789; 1.0000000; 0.0000000
7.3935135; 0.8000333; 0.3190066; -2.0690684; 0.3354447; 1.0000000; 0.0000000
7.5933382; 0.9785370; 0.2292874; -2.0049848; 0.3060308; 1.0000000; 0.0000000
7.7931629; 1.1621988; 0.1506396; -1.9468303; 0.2752225; 1.0000000; 0.0000000
7.9929876; 1.3499093; 0.0822141; -1.8948180; 0.2466415; 1.0000000; 0.0000000
8.1928123; 1.5407720; 0.0231226; -1.8480957; 0.2214637; 1.0000000; 0.0000000
8.3926370; 1.7340729; -0.0274640; -1.8061682; 0.1986869; 1.0000000; 0.0000000
