# 87c51d33-93a8-470a-afde-931255159152
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.3812129; -0.1297228; 1.9508516; 0.4945091; 3.0000000; 0.0000000
0.1986336; -0.5617574; -0.2123491; 2.0492242; 0.4971783; 3.0000000; 0.0000000
0.3972673; -0.7332408; -0.3124305; 2.1494976; 0.5130853; 3.0000000; 0.0000000
0.5959009; -0.8938956; -0.4291160; 2.2470115; 0.4693063; 3.0000000; 0.0000000
0.7945345; -1.0432924; -0.5599392; 2.3294316; 0.3620918; 3.0000000; 0.0000000
0.9931681; -1.1827509; -0.7013251; 2.3943155; 0.2922730; 3.0000000; 0.0000000
1.1918018; -1.3135074; -0.8507998; 2.4509852; 0.2786328; 3.0000000; 0.0000000
1.3904354; -1.4356871; -1.0073739; 2.5072334; 0.2875725; 3.0000000; 0.0000000
1.5890690; -1.5487355; -1.1706703; 2.5651641; 0.2955391; 3.0000000; 0.0000000
1.7877026; -1.6520515; -1.3402928; 2.6238768; 0.2954878; 3.0000000; 0.0000000
1.9863363; -1.7452913; -1.5156554; 2.6816445; 0.2860572; 3.0000000; 0.0000000
2.1849699; -1.8284703; -1.6960094; 2.7367065; 0.2685597; 3.0000000; 0.0000000
2.3836035; -1.9019150; -1.8805448; 2.7883654; 0.2519018; 3.0000000; 0.0000000
2.5822372; -1.9660158; -2.0685322; 2.8371767; 0.2397772; 3.0000000; 0.0000000
2.7808708; -2.0210858; -2.2593615; 2.8837685; 0.2294711; 3.0000000; 0.0000000
2.9795044; -2.0674077; -2.4525018; 2.9282876; 0.2188836; 3.0000000; 0.0000000
3.1781380; -2.1052952; -2.6474732; 2.9706742; 0.2079752; 3.0000000; 0.0000000
3.3767717; -2.1351059; -2.8438433; 3.0108014; 0.1961070; 3.0000000; 0.0000000
3.5754053; -2.1572647; -3.0412257; 3.0483143; 0.1816320; 3.0000000; 0.0000000
3.7740389; -2.1723069; -3.2392794; 3.0826965; 0.1645650; 3.0000000; 0.0000000
3.9726725; -2.1808946; -3.4377198; 3.1132913; 0.1434641; 3.0000000; 0.0000000
4.1713062; -2.1838887; -3.6363259; 3.1387129; 0.1123928; 3.0000000; 0.0000000
4.3699398; -2.1826454; -3.8349546; -3.1282600; 0.0503944; 3.0000000; 0.0000000
4.5685734; -2.1791554; -4.0335562; -3.1204929; 0.0283745; 3.0000000; 0.0000000
4.7672071; -2.1740577; -4.2321216; -3.1094950; 0.0835001; 3.0000000; 0.0000000
4.9658407; -2.1654713; -4.4305643; -3.0843070; 0.1706046; 3.0000000; 0.0000000
5.1644743; -2.1503696; -4.6286103; -3.0448337; 0.2264066; 3.0000000; 0.0000000
5.3631079; -2.1266668; -4.8258073; -2.9987833; 0.2367092; 3.0000000; 0.0000000
5.5617416; -2.0937506; -5.0216769; -2.9512287; 0.2422657; 3.0000000; 0.0000000
5.7603752; -2.0513897; -5.2157210; -2.9015577; 0.2581944; 3.0000000; 0.0000000
5.9590088; -1.9991116; -5.4073272; -2.8482181; 0.2790672; 3.0000000; 0.0000000
